iter	Passed	Remaining
0	174	174284
1	177	88454
2	181	60184
3	184	45982
4	186	37147
5	188	31202
6	189	26924
7	191	23722
8	192	21201
9	193	19181
10	196	17682
11	197	16290
12	199	15129
13	200	14112
14	201	13225
15	202	12448
16	203	11755
17	204	11138
18	205	10585
19	205	10088
20	206	9639
21	207	9231
22	210	8926
23	211	8584
24	212	8270
25	212	7976
26	213	7705
27	215	7479
28	216	7244
29	217	7025
30	218	6819
31	219	6626
32	219	6446
33	221	6279
34	223	6162
35	225	6027
36	226	5886
37	227	5749
38	228	5618
39	228	5493
40	229	5374
41	230	5261
42	231	5152
43	232	5049
44	233	4950
45	234	4857
46	235	4769
47	236	4690
48	237	4607
49	238	4527
50	239	4450
51	240	4378
52	241	4307
53	241	4239
54	242	4174
55	243	4110
56	244	4049
57	245	3990
58	246	3933
59	247	3878
60	248	3823
61	252	3818
62	253	3769
63	254	3719
64	255	3671
65	256	3624
66	257	3578
67	257	3534
68	258	3491
69	259	3449
70	260	3408
71	261	3368
72	262	3329
73	264	3308
74	265	3280
75	267	3246
76	268	3213
77	269	3183
78	270	3150
79	271	3117
80	271	3085
81	272	3054
82	273	3019
83	274	2989
84	275	2960
85	275	2931
86	276	2904
87	279	2895
88	280	2868
89	281	2842
90	281	2816
91	282	2791
92	283	2766
93	284	2742
94	285	2718
95	286	2695
96	287	2672
97	287	2649
98	288	2627
99	289	2606
100	290	2585
101	291	2564
102	293	2559
103	294	2540
104	295	2520
105	296	2501
106	297	2482
107	298	2463
108	299	2445
109	300	2427
110	300	2409
111	301	2392
112	302	2375
113	303	2358
114	304	2341
115	305	2325
116	306	2309
117	307	2301
118	308	2286
119	309	2271
120	310	2256
121	311	2240
122	312	2225
123	313	2212
124	313	2197
125	314	2184
126	315	2169
127	316	2155
128	317	2142
129	318	2129
130	319	2116
131	319	2103
132	321	2098
133	322	2086
134	323	2074
135	324	2062
136	325	2050
137	326	2038
138	327	2026
139	328	2015
140	328	2003
141	329	1990
142	330	1979
143	331	1968
144	332	1957
145	333	1947
146	333	1937
147	336	1935
148	337	1925
149	338	1915
150	338	1905
151	339	1895
152	340	1885
153	341	1875
154	342	1866
155	343	1856
156	344	1847
157	344	1838
158	345	1829
159	346	1820
160	347	1810
161	348	1801
162	350	1797
163	351	1791
164	352	1783
165	353	1775
166	354	1769
167	355	1761
168	356	1753
169	357	1745
170	358	1737
171	359	1729
172	360	1721
173	361	1715
174	362	1710
175	365	1712
176	366	1705
177	367	1698
178	368	1691
179	369	1684
180	370	1678
181	371	1671
182	373	1665
183	374	1660
184	375	1654
185	376	1647
186	377	1641
187	379	1637
188	380	1632
189	381	1626
190	382	1621
191	384	1616
192	385	1610
193	386	1604
194	387	1598
195	388	1591
196	388	1585
197	389	1578
198	391	1577
199	392	1571
200	393	1565
201	394	1559
202	395	1553
203	396	1546
204	397	1540
205	398	1534
206	398	1528
207	399	1522
208	400	1517
209	401	1511
210	402	1505
211	403	1499
212	404	1494
213	406	1494
214	407	1489
215	408	1483
216	409	1477
217	410	1472
218	411	1466
219	412	1460
220	412	1455
221	413	1449
222	414	1444
223	415	1439
224	416	1434
225	417	1428
226	418	1423
227	418	1418
228	421	1417
229	421	1412
230	422	1407
231	423	1402
232	424	1397
233	425	1392
234	426	1387
235	427	1382
236	428	1379
237	429	1374
238	430	1369
239	430	1364
240	431	1359
241	432	1355
242	434	1354
243	436	1351
244	436	1346
245	437	1341
246	438	1337
247	439	1332
248	440	1328
249	441	1325
250	442	1320
251	443	1316
252	444	1312
253	445	1307
254	446	1303
255	446	1298
256	448	1297
257	450	1295
258	451	1291
259	452	1288
260	453	1284
261	454	1281
262	455	1277
263	456	1273
264	457	1269
265	458	1264
266	459	1260
267	460	1256
268	460	1252
269	461	1248
270	463	1247
271	464	1243
272	465	1239
273	466	1235
274	467	1231
275	468	1228
276	469	1224
277	469	1220
278	470	1216
279	471	1212
280	472	1208
281	473	1205
282	474	1201
283	474	1197
284	475	1193
285	477	1192
286	478	1188
287	479	1185
288	480	1181
289	481	1178
290	482	1174
291	482	1170
292	483	1167
293	484	1163
294	485	1160
295	486	1156
296	487	1153
297	488	1150
298	489	1146
299	491	1146
300	492	1143
301	493	1140
302	494	1136
303	495	1133
304	496	1130
305	496	1127
306	497	1123
307	498	1120
308	499	1117
309	500	1114
310	501	1111
311	502	1108
312	503	1104
313	506	1105
314	507	1103
315	508	1100
316	509	1097
317	512	1099
318	513	1096
319	514	1094
320	515	1091
321	517	1088
322	517	1085
323	518	1082
324	521	1082
325	522	1080
326	523	1077
327	524	1074
328	525	1071
329	526	1068
330	527	1065
331	528	1062
332	529	1059
333	530	1056
334	530	1053
335	531	1050
336	532	1048
337	533	1045
338	536	1045
339	537	1043
340	538	1040
341	540	1039
342	540	1036
343	541	1033
344	542	1030
345	543	1027
346	544	1024
347	545	1021
348	546	1018
349	546	1015
350	547	1012
351	549	1012
352	551	1010
353	552	1008
354	553	1005
355	554	1002
356	555	999
357	555	996
358	556	994
359	557	991
360	558	988
361	559	985
362	560	983
363	561	980
364	561	977
365	563	975
366	566	976
367	567	973
368	568	971
369	568	968
370	569	966
371	570	963
372	571	960
373	572	958
374	573	955
375	574	952
376	574	950
377	575	947
378	576	944
379	578	944
380	579	942
381	580	939
382	581	936
383	582	934
384	583	931
385	584	929
386	584	926
387	585	924
388	586	921
389	587	918
390	588	916
391	589	913
392	590	911
393	591	909
394	593	909
395	594	907
396	596	905
397	597	903
398	597	900
399	598	898
400	599	895
401	600	893
402	601	890
403	602	888
404	602	885
405	603	883
406	604	880
407	605	878
408	607	878
409	608	875
410	609	873
411	610	871
412	611	868
413	612	866
414	612	864
415	613	861
416	614	859
417	615	856
418	616	854
419	617	852
420	618	849
421	618	847
422	619	845
423	622	845
424	623	843
425	624	841
426	625	839
427	626	837
428	627	834
429	628	832
430	628	830
431	629	827
432	630	825
433	631	823
434	632	821
435	633	819
436	634	817
437	638	819
438	639	817
439	640	815
440	641	813
441	642	810
442	643	808
443	644	806
444	644	804
445	645	802
446	646	799
447	647	798
448	648	796
449	650	795
450	651	793
451	652	791
452	653	789
453	654	786
454	655	784
455	656	782
456	656	780
457	657	778
458	658	776
459	659	774
460	660	772
461	661	770
462	662	768
463	663	766
464	665	765
465	666	763
466	667	761
467	668	759
468	668	757
469	669	755
470	670	753
471	671	751
472	672	749
473	673	746
474	673	744
475	674	742
476	675	740
477	676	738
478	677	736
479	679	735
480	680	734
481	681	732
482	682	730
483	683	728
484	683	726
485	684	724
486	685	722
487	686	720
488	687	718
489	688	716
490	689	714
491	689	712
492	690	710
493	691	708
494	693	707
495	694	705
496	695	703
497	695	701
498	696	699
499	697	697
500	698	695
501	699	693
502	700	691
503	700	689
504	701	687
505	702	686
506	704	684
507	705	683
508	706	681
509	708	681
510	709	679
511	710	677
512	711	675
513	712	673
514	713	671
515	713	669
516	714	667
517	715	665
518	716	663
519	717	662
520	718	660
521	718	658
522	719	656
523	720	654
524	722	654
525	724	652
526	725	650
527	726	649
528	727	647
529	728	646
530	729	644
531	730	642
532	731	640
533	732	638
534	732	636
535	733	635
536	734	633
537	736	632
538	737	630
539	738	628
540	739	627
541	740	625
542	740	623
543	741	621
544	742	620
545	743	618
546	744	616
547	745	615
548	746	613
549	747	611
550	748	609
551	749	607
552	751	607
553	751	605
554	752	603
555	753	601
556	754	600
557	755	598
558	756	596
559	757	595
560	758	593
561	760	592
562	761	591
563	763	589
564	766	590
565	767	588
566	768	586
567	769	584
568	769	583
569	770	581
570	772	580
571	773	578
572	775	577
573	776	575
574	777	574
575	778	572
576	779	571
577	781	570
578	783	569
579	785	568
580	786	567
581	787	565
582	789	564
583	791	563
584	794	563
585	794	561
586	795	559
587	796	558
588	797	556
589	798	554
590	799	553
591	800	551
592	801	549
593	801	548
594	802	546
595	803	544
596	804	543
597	805	541
598	807	540
599	808	539
600	810	537
601	811	536
602	812	534
603	813	533
604	814	531
605	814	529
606	815	528
607	816	526
608	817	524
609	818	523
610	819	521
611	819	519
612	822	519
613	823	517
614	824	515
615	824	514
616	825	512
617	826	510
618	827	509
619	828	507
620	829	506
621	830	504
